ahe,nome,usuario,numero,emissao
PCH,Toca,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,conforme,não conforme
PCH,Palmeiras,HIDROPAN - Hidroelétrica Panambi S/A,não conforme, 
PCH,Marcos Baldo,Turvo Energia S A,não conforme, 
PCH,Capiguí,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,não conforme, 
PCH,Cerquinha III,Cerquinha III Energética S.A,não conforme, 
PCH,Cachoeira 5 veados,Rincão dos Albinos Energática S.A,não conforme, 
PCH,Rincão,SSS Participações Ltda/Rincão Energia As,conforme,não conforme
PCH,Chimarrão,Chimarrão Energética SA,não conforme, 
PCH,Igrejinha,Cooperativa de Geração de Energia e Desenvolvimento Social Ltda - Ceriluz,não conforme, 
PCH,Guarita,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,conforme,não conforme
PCH,Forquilha,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,conforme,não conforme
PCH,Tio Hugo,Cooperativa de Geração de Energia e Desenvolvimento - COPREL,não conforme, 
PCH,Santo Antônio do Jacuí,Cooperativa de Geração de Energia e Desenvolvimento - COPREL,não conforme, 
PCH,Rio dos Índios,Casa de Pedra Energia LTDA,conforme,conforme
PCH,Salto Guassupi,Salto do Guassupi Energética S.A,não conforme, 
PCH,Cambará S/A,CERQUINHA II ENERGÉTICA S.A.,não conforme, 
UHE,14 de Julho,Companhia Energética do Rio das Antas - CERAN,não conforme, 
UHE,Jacuí,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,conforme,não conforme
UHE,Monte Claro,Companhia Energética do Rio das Antas - CERAN,não conforme, 
UHE,Cascata do Pinheirinho,Cooperativa de Energia e Desenv. Rural Coprel LTDA,não conforme, 
UHE,São José ,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,não conforme, 
UHE,Dona Francisca,Dona Francisca Energética S/A,conforme,conforme
UHE,Passo de Ajuricaba,Departamento Municipal de Energia de Ijuí - DEMEI,conforme,não conforme
UHE,Castro Alves,Companhia Energética do Rio das Antas - CERAN,não conforme, 
UHE,Alzir dos Santos Antunes (Antiga Monjolinho),Monel Monjolinho Energética LTDA,não conforme, 
UHE,Leonel Brizola,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,não conforme, 
UHE,Passo Real,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,conforme,não conforme
UHE,Santa Rosa,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,conforme,não conforme
UHE,Passo do Inferno,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,conforme,não conforme
UHE,Itaúba,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,conforme,não conforme
UHE,Ernestina,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,conforme,não conforme
UHE,Bugres,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,conforme,não conforme
UHE,Bom Retiro,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,não conforme, 
UHE,Passo São João,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,não conforme, 
UHE,Canastra,Bom Retiro Energia Ltda,conforme,não conforme
UHE,Guarita,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,conforme,não conforme
UHE,Forquilha,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,não conforme, 
